Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
286,Nathaniel Adjei,gh GHA,DF,Lorient,22,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
287,Noah Cadiou,,CM,Lorient,27,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
288,Adam Karabec,cz CZE,"MF,FW",Lyon,22,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
289,Khalis Merah,,CM,Lyon,18,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
290,Rémy Cabella,fr FRA,"MF,FW",Nantes,35,"€ 17,500 (£ 15,156, $20,341)","€ 910,000 (£ 788,112, $1,057,753)",Unverified estimation
291,Youssef El-Arabi,ma MAR,FW,Nantes,38,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
292,Bouna Sarr,sn SEN,"MF,DF",Metz,33,"€ 17,500 (£ 15,156, $20,341)","€ 910,000 (£ 788,112, $1,057,753)",Unverified estimation
293,Joel Asoro,se SWE,FW,Metz,26,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
294,Koffi Kouao,ci CIV,"DF,MF",Metz,27,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
295,Junior Dina Ebimbe,cm CMR,MF,Brest,24,"€ 17,500 (£ 15,170, $20,382)","€ 910,000 (£ 788,840, $1,059,862)",Unverified estimation
296,Nhoa Sangui,fr FRA,DF,Paris FC,19,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
297,Obed Nkambadio,fr FRA,GK,Paris FC,22,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
298,Rudy Matondo,,CM,Paris FC,17,"€ 15,769 (£ 13,657, $18,330)","€ 820,000 (£ 710,167, $953,140)",Unverified estimation
299,Tom Louchet,fr FRA,MF,Nice,22,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
300,Abu Francis,,CM,Toulouse,24,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
301,Yann Gboho,fr FRA,"MF,FW",Toulouse,24,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
302,Bilal Nadir,ma MAR,MF,Marseille,21,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
303,Marvin Senaya,gh GHA,"DF,MF",Auxerre,24,"€ 15,769 (£ 13,670, $18,366)","€ 820,000 (£ 710,823, $955,041)",Unverified estimation
